lastUpdated,title,url
" This page was last edited on 19 September 2020, at 00:35",Kevin Bacon,https://en.wikipedia.org/wiki/Kevin_Bacon
" This page was last edited on 21 July 2020, at 00:07",Screen Actors Guild Awards,https://en.wikipedia.org/wiki/Screen_Actors_Guild_Award
" This page was last edited on 8 September 2020, at 12:45",Golden Globe Awards,https://en.wikipedia.org/wiki/Golden_Globe_Award
" This page was last edited on 18 August 2020, at 20:30", (TV series),https://en.wikipedia.org/wiki/I_Love_Dick_(TV_series)
" This page was last edited on 6 September 2020, at 23:58",List of social networking websites,https://en.wikipedia.org/wiki/Social_networks
" This page was last edited on 3 October 2020, at 12:56",Hollywood Walk of Fame,https://en.wikipedia.org/wiki/Hollywood_Walk_of_Fame
" This page was last edited on 14 August 2020, at 04:30",Golden Globe Award for Best Actor – Television Series Musical or Comedy,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Actor_%E2%80%93_Television_Series_Musical_or_Comedy
" This page was last edited on 22 September 2020, at 10:27",Primetime Emmy Award,https://en.wikipedia.org/wiki/Primetime_Emmy_Award
" This page was last edited on 3 September 2020, at 14:05",[<Selector xpath='//h1/i/text()' data='Taking Chance'>],https://en.wikipedia.org/wiki/Taking_Chance
" This page was last edited on 1 October 2020, at 12:55",Academy Awards,https://en.wikipedia.org/wiki/Academy_Award
" This page was last edited on 18 September 2020, at 16:08",[<Selector xpath='//h1/i/text()' data='The Guardian'>],https://en.wikipedia.org/wiki/The_Guardian
" This page was last edited on 26 May 2020, at 18:28",Obie Award,https://en.wikipedia.org/wiki/Obie_Award
" This page was last edited on 5 October 2020, at 13:16",Richard Dean Anderson,https://en.wikipedia.org/wiki/Richard_Dean_Anderson
" This page was last edited on 23 July 2020, at 12:44",Main Page,https://en.wikipedia.org/wiki/Main_Page
" This page was last edited on 11 September 2020, at 16:17",[<Selector xpath='//h1/i/text()' data='The Following'>],https://en.wikipedia.org/wiki/The_Following
" This page was last edited on 23 September 2020, at 20:01", (film),https://en.wikipedia.org/wiki/Patriots_Day_(film)
" This page was last edited on 1 October 2020, at 17:17", (film),https://en.wikipedia.org/wiki/Black_Mass_(film)
" This page was last edited on 6 October 2020, at 15:27",Fox Broadcasting Company,https://en.wikipedia.org/wiki/Fox_Broadcasting_Company
" This page was last edited on 7 October 2020, at 00:10",HBO,https://en.wikipedia.org/wiki/HBO
lastUpdated,title,url
" This page was last edited on 22 September 2022, at 07:42",,https://en.wikipedia.org/wiki/Kevin_Bacon
" This page was last edited on 19 October 2022, at 17:50",,https://en.wikipedia.org/wiki/Bucknell_University
" This page was last edited on 14 July 2022, at 08:53",,https://en.wikipedia.org/wiki/Glory_Van_Scott
" This page was last edited on 17 September 2022, at 03:01",,https://en.wikipedia.org/wiki/Pennsylvania_Governor%27s_School_for_the_Arts
" This page was last edited on 10 July 2022, at 10:03",,https://en.wikipedia.org/wiki/Nancy_Mills
" This page was last edited on 27 September 2022, at 15:47",,https://en.wikipedia.org/wiki/Circle_in_the_Square
" This page was last edited on 13 October 2022, at 05:23",[<Selector xpath='//h1/i/text()' data='Search for Tomorrow'>],https://en.wikipedia.org/wiki/Search_for_Tomorrow
" This page was last edited on 18 October 2022, at 10:44", (magazine),https://en.wikipedia.org/wiki/Cosmopolitan_(magazine)
" This page was last edited on 3 October 2022, at 19:41",[<Selector xpath='//h1/i/text()' data='Guiding Light'>],https://en.wikipedia.org/wiki/Guiding_Light
" This page was last edited on 4 October 2022, at 07:19",,https://en.wikipedia.org/wiki/Julia_R._Masterman_High_School
" This page was last edited on 2 March 2021, at 15:35",,https://en.wikipedia.org/wiki/SixDegrees.org
" This page was last edited on 7 October 2022, at 21:27",,https://en.wikipedia.org/wiki/Fraternities_and_sororities
" This page was last edited on 19 October 2022, at 08:02",,https://en.wikipedia.org/wiki/Six_Degrees_of_Kevin_Bacon
" This page was last edited on 20 October 2022, at 21:15",,https://en.wikipedia.org/wiki/Philadelphia
" This page was last edited on 24 September 2022, at 08:41",,https://en.wikipedia.org/wiki/EE_Limited
" This page was last edited on 5 October 2022, at 19:27",,https://en.wikipedia.org/wiki/Main_Page
" This page was last edited on 27 June 2022, at 04:28",,https://en.wikipedia.org/wiki/Trove_(identifier)
